trade_id,side,entry_time,exit_time,entry_price,exit_price,quantity,position_value,pnl_net,pnl_net_pct,runup_usd,runup_pct,drawdown_usd,drawdown_pct,equity,peak_equity,equity_drawdown,trade_duration_min
1,LONG,2011-01-02 18:00:00,2011-01-06 07:30:00,1256.25,1276.75,3,3768.75,3075.0,1.63,3075.0,1.63,-75.0,-0.04,3075.0,3075.0,0.0,5130.0
2,LONG,2011-01-09 19:30:00,2011-01-13 08:15:00,1265.5,1283.25,3,3796.5,2662.5,1.4,2850.0,1.5,-1125.0,-0.59,5737.5,5737.5,0.0,5085.0
3,LONG,2011-01-17 06:45:00,2011-01-19 12:30:00,1286.25,1279.25,3,3858.75,-1050.0,-0.54,1500.0,0.78,-1050.0,-0.54,4687.5,5737.5,-1050.0,3225.0
4,LONG,2011-01-19 15:30:00,2011-01-20 11:30:00,1275.0,1267.75,3,3825.0,-1087.5,-0.57,975.0,0.51,-1087.5,-0.57,3600.0,5737.5,-2137.5,1200.0
5,LONG,2011-01-30 19:00:00,2011-01-31 21:15:00,1267.5,1287.75,3,3802.5,3037.5,1.6,3037.5,1.6,-337.5,-0.18,6637.5,6637.5,0.0,1575.0
6,LONG,2011-02-15 10:15:00,2011-02-18 05:15:00,1322.25,1335.25,3,3966.75,1950.0,0.98,2662.5,1.34,0.0,0.0,8587.5,8587.5,0.0,4020.0
7,LONG,2011-02-22 12:45:00,2011-02-22 15:15:00,1318.0,1311.0,3,3954.0,-1050.0,-0.53,300.0,0.15,-1050.0,-0.53,7537.5,8587.5,-1050.0,150.0
8,LONG,2011-03-01 10:15:00,2011-03-01 13:15:00,1319.0,1311.5,3,3957.0,-1125.0,-0.57,900.0,0.45,-1125.0,-0.57,6412.5,8587.5,-2175.0,180.0
9,LONG,2011-03-07 03:00:00,2011-03-07 11:30:00,1317.0,1310.25,3,3951.0,-1012.5,-0.51,1537.5,0.78,-1012.5,-0.51,5400.0,8587.5,-3187.5,510.0
10,LONG,2011-03-13 19:45:00,2011-03-14 10:30:00,1299.25,1292.5,3,3897.75,-1012.5,-0.52,975.0,0.5,-1012.5,-0.52,4387.5,8587.5,-4200.0,885.0
11,LONG,2011-03-14 15:30:00,2011-03-14 20:30:00,1296.0,1283.75,3,3888.0,-1837.5,-0.95,375.0,0.19,-1875.0,-0.96,2550.0,8587.5,-6037.5,300.0
12,LONG,2011-03-15 06:00:00,2011-03-16 14:00:00,1257.25,1248.75,3,3771.75,-1275.0,-0.68,3975.0,2.11,-1275.0,-0.68,1275.0,8587.5,-7312.5,1920.0
13,LONG,2011-03-16 23:15:00,2011-03-18 15:45:00,1256.5,1273.5,3,3769.5,2550.0,1.35,4650.0,2.47,-112.5,-0.06,3825.0,8587.5,-4762.5,2430.0
14,LONG,2011-03-20 20:15:00,2011-03-22 20:00:00,1279.5,1286.25,3,3838.5,1012.5,0.53,2550.0,1.33,-300.0,-0.16,4837.5,8587.5,-3750.0,2865.0
15,LONG,2011-04-11 04:30:00,2011-04-11 15:00:00,1324.0,1317.25,3,3972.0,-1012.5,-0.51,937.5,0.47,-1012.5,-0.51,3825.0,8587.5,-4762.5,630.0
16,LONG,2011-04-14 08:30:00,2011-04-18 00:00:00,1300.75,1316.25,3,3902.25,2325.0,1.19,2775.0,1.42,-375.0,-0.19,6150.0,8587.5,-2437.5,5250.0
